status,suggested_title,sources,raw_hanabira,raw_jkindrix,meaning_hint_UNTRUSTED,formation_hint,flags
OK,くて～でなんであろう,jk,,i-adj 〜くて / na-adj + で + なんであろう,"if not X, what else / what else could it be but X",i-adj 〜くて / na-adj + で + なくてなんであろう / なんであろうか.,
OK,くもなんともない,jk,,i-adj 〜くもなんともない ,not even slightly / not at all,i-adj stem + くもなんともない; na-adj / noun + でもなんでもない.,
OK,ぐるみ,hb+jk,Noun + ぐるみ (〜gurumi),Noun + ぐるみ,"This term is used to describe 'entirely', 'altogether', 'as a whole' or 'collectively'.",Noun + ぐるみ,
OK,こそあれ,hb+jk,Noun こそあれ (~kosoare),Plain form / noun + こそあれ,Expresses the meaning 'even if'; 'no matter'.,Noun + こそあれ,family=こそすれ/こそあれ family
OK,こそすれ,hb,Noun こそすれ (~koso sure),,"An emphatic expression for 'if anything', 'especially', and 'it is', which shows that other alternatives are hardly conceivable.",Noun + こそすれ,family=こそすれ/こそあれ family
OK,こそ～が,hb,Noun こそ～が (~koso~ga),,"Used to emphasize that it is precisely because of something, that another statement is true.",Noun + こそ + Sentence + が,
OK,こととて,hb,～こととて (〜koto tote),,"Used to express the reason or premise for a decision or judgement; 'since', 'because'.","Verb-casual + こととて, Noun + の + こととて",
OK,こともあろうに,jk,,こともあろうに,of all things / unbelievably / of all places,こともあろうに + noun / main clause.,
REVIEW,こなす,jk,,Verb ます-stem + こなす,handle skillfully / master / do expertly,V ます-stem + こなす.,"junk=vocabulary compound verb, not grammar"
OK,この上ない,jk,,i-adj / na-adj + この上ない,utmost / supreme / nothing could be more,i-adj / na-adj + この上ない. For nouns: noun + この上ない.,
OK,ごとき,jk,,Noun + ごとき (+ noun),"like (a) / such as (literary, often disparaging)",Noun + ごとき (+ noun).,family=ごとき/ごとく family
OK,ごとく,hb,～ごとく (〜gotoku),,To seem like; as if; as though.,"Verb-て + ごとく,  Noun + の + ごとく",family=ごとき/ごとく family
REVIEW,させられる,hb,Verb させられる (~saserareru),,Expresses 'being forced to do something' or 'being made to do something'.,Verb-casual(non-past)+させられる,"junk=causative-passive conjugation, N3 material"
OK,さながら,jk,,Noun / plain form + さながら,just like / as if / veritable,Noun + さながら; plain form + さながらの + noun.,
REVIEW,ざるを得ない,hb,Verb ざるを得ない (~ zaru wo enai),,"'Cannot but', 'have no choice but to', 'forced to'",Verb-dictionary form + ざるを得ない,junk=ours N2 ～ざるを得ない; dupe_ours=N2 ～ざるを得ない
OK,しかるべき,jk,,V-て form + しかるべき,should be (fittingly) / ought to be,"V-て + しかるべき (+ だ, or as attributive before noun).",
OK,じゃあるまいし,hb,Noun じゃあるまいし (~ja aru mai shi),,Expressing that something 'is not'; 'is not the case'.,Noun or Na-Adjective + じゃあるまいし,family=まい family
OK,ずくめ,hb,Noun ずくめ (~zukume),,Denotes 'entirely' or 'nothing but'.,Noun + ずくめ,family=ずくめ/まみれ suffix pair
OK,ずじまい,hb,Verb ずじまい (~zu jimai),,Expressing regret for not having done something; not being able to; not having the chance to.,Verb-ない form (remove ない） + ずじまい,family=まい family
OK,ずとも,hb,Verb ずとも (〜zu tomo),,"This structure is used to mean 'Even without doing (an action), (an action) is still achievable'.",Verb-negative stem + ずとも,family=ず classical negative family
OK,ずにすんだ,hb,～ずにすんだ (〜zuni sunda),,Expresses the idea of 'was able to do without'; 'managed to avoid'.,Verb-ず form + に + すんだ,family=ずにはすまない family
OK,ずにはおかない,hb+jk,Verb ずにはおかない (~zuni wa okanai),V negative stem + ずにはおかない,"Expresses the idea of 'cannot help but...', 'cannot leave it as it is' or 'must do something'.",Verb-dictionary form + ずにはおかない,family=ずにはおかない family
OK,ずにはすまない,hb+jk,Verb ずにはすまない (Verb zuni wa sumanai),V negative stem + ずにはすまない ,"'Cannot do without', 'have to', 'unavoidable'.",Verb-ないform(remove ない) + ずにはすまない,family=ずにはすまない family
OK,ずもがな,jk,,V negative stem + ずもがな,unnecessary / better left unsaid,V ない-stem + ずもがな. Most common: 言わずもがな.,family=ず classical negative family
REVIEW,そうにない,hb,Verb そうにない (Verb sou ni nai),,Expresses unlikelihood or that something is not likely to happen.,Verb-stem + そうにない,junk=ours N3 ～そうもない (sibling form)
REVIEW,そうもない,hb,Verb そうもない (〜sou monai),,"Expresses the negative potential; 'it doesn't seem like', 'it's not likely'.",Verb-volitional form + そうもない,junk=ours N3 ～そうもない; dupe_ours=N3 ～そうもない
REVIEW,そのもの,jk,,Noun + そのもの,(X) itself / the very essence of,Noun + そのもの.,junk=N2-ish emphasis noun (check ours/level)
OK,そばから,hb,Verb そばから (〜soba kara),,"Expresses the notion that as soon as one action finishes, another begins.",Verb-ますstem + そばから,
OK,たが最後,hb+jk,Verb たが最後 (〜ta ga saigo),V-たら / V dict + が最後,"Expression used to denote the idea that 'once something has occurred, it is final'; 'once', 'as soon as', 'the moment'.","Verb-casual, past (た form) + が最後",family=たが最後/たら最後
OK,たことにしてください,hb,Verb たことにしてください (~ ta koto ni shite kudasai),,Asking someone to pretend or accept that something has already happened or taken a certain state.,"Verb(past, casual) + ことにしてください",
REVIEW,ただでさえ,jk,,ただでさえ,even normally / already (in an unmodified state),ただでさえ + [sentence describing normal state] + 〜のに + [worsening factor].,junk=N2 adverb (check level)
OK,たらきりがない,hb,Verb たら きりがない (Verb tara kiri ga nai),,"Represents an endless cycle of doing something; 'if one starts doing something, it will not stop'",Verb-た form + きりがない,
OK,たら最後,hb,Verb たら最後 (〜tara saigo),,"Expresses that once a certain action happens, a situation changes irreversibly; 'once', 'after'.",Verb-た form + 最後,
OK,たら～たで,hb,Verb たら Verb たで (~ tara ~ tade),,"Expresses the sequence of actions; 'after doing..., did...'.",Verb(たform) + ら + Verb(たform) + で,
OK,たりとも,jk,,Number + counter + たりとも + negative,not even one / not even a single,Number + counter + たりとも + negative. Often 一 + counter + たりとも.,
OK,たりとも～ない,hb,Noun たりとも～ない (~tari tomo ~nai),,"This expression shows the meaning of 'not even', 'not a single'.",Noun + たりとも + Negative Verb,
OK,たりもしない,jk,,V た + り + もしない,doesn't even do / not even X,V た + り + もしない.,
OK,たる,hb,Noun たる Noun (~taru~),,Expresses the idea of 'being in the condition or state of',Noun1 + たる + Noun2,family=たる family
OK,たるゆえん,jk,,Noun + たるゆえん,the reason for being / what makes (X) an X,Noun (role / identity) + たるゆえん + predicate.,family=たる family
OK,たる者,jk,,Noun + たる者,"as a (proper) X, one should / one who is X",Noun (role) + たる者 + normative predicate.,family=たる family
OK,だけではすまない,hb,Noun だけではすまない (Noun dake dewa sumanai),,"Expresses 'not finish/end with just', 'cannot be settled only by'.",Noun + だけではすまない,family=ずにはすまない family
OK,だの～だの,hb,A だの B だの (A dano B dano),,"Used to list examples; 'things like', 'and so on'.",Noun + だの Noun + だの,family=だの…だの listing
OK,だろうとなかろうと,hb,～だろうとなかろうと (〜darou to nakarou to),,Expresses 'regardless of whether it is or isn't'.,Noun + だろうとなかろうと,family=うが/うと indifference pair
REVIEW,つもりだ,hb,～つもりだ (〜tsumori da),,Expresses the speaker's intention or plan.,Verb-dictionary form + つもりだ,junk=ours N3/N4 つもり family covers it
REVIEW,つもりで,hb,～つもりで (〜tsumori de),,"Expresses the speaker's intention or plan; 'with the intention of', 'planning to'.",Verb-dictionary form + つもりで,junk=ours N3/N4 つもり family covers it
OK,つ～つ,hb,Verb つ Verb つ (Verb tsu Verb tsu),,Expresses a series of actions happening repeatedly one after another.,Verb-stem(masu-form) + つ  + same Verb-stem(masu-form) + つ,
OK,てからというもの,hb,Verb てからというもの (Verb te kara to iu mono),,Expresses a change that has been consistent since a certain time or event.,Verb-てform + からというもの,
OK,てこそ,hb,Verb てこそ (Verb te koso),,"Express the idea that 'only by doing something, something else can be achieved or realized.'",Verb-て form + こそ,
REVIEW,ては,hb,Verb ては (～te wa),,"Expresses a repeated negative event; 'whenever', 'the more...the more'.",Verb-てform + は,"junk=basic repetition ては…ては, N4 material"
OK,てまでも,hb,Verb てまでも (~ temademo),,Expresses the idea of 'even if it means....'; 'no matter what it takes',Verb-て form + までも,
OK,てみせる,hb+jk,Verb てみせる (Verb te miseru),V-て form + みせる,"Expresses 'show by doing', 'demonstrate', 'prove by action'.",Verb-te form + みせる,
OK,てやまない,hb+jk,Verb てやまない (Verb te yamanai),V-て form + やまない,"To express the idea of 'doing something incessantly', 'can't help but do'.",Verb-te form + やまない,
OK,であったとしても,jk,,Plain form + であったとしても,even if it were / even assuming that (past hypothetical),Noun / na-adj + であったとしても; plain past (V-た) + としても.,
OK,でありながら,jk,,Noun / na-adj + でありながら,while being / even though one is,Noun / na-adj root + でありながら.,
OK,であれ～であれ,hb+jk,A であれ B であれ (A deare B deare),Noun + であれ + noun + であれ,Used to indicate that something applies to multiple situations; 'whether A or B'.,Noun A + であれ + Noun B + であれ,family=であれ…であれ
OK,ですら,hb+jk,Noun ですら (~desura),Noun + ですら,"Express 'even', 'even if', or 'as much as'.",Noun + ですら,family=すら family
OK,でなくてなんだろう,hb,Noun でなくてなんだろう (〜de nakute nandarou),,Expresses the speaker's strong belief that something is certainly the case.,Noun + でなくてなんだろう,
OK,でなんであろう,jk,, na-adj + で + なんであろう,"if not X, what else / what else could it be but X",i-adj 〜くて / na-adj + で + なくてなんであろう / なんであろうか.,
OK,ではあるまいか,jk,, ではあるまいか,I wonder if / isn't it possibly,Noun / na-adj + ではあるまいか; V plain + のではあるまいか.,family=まい family
OK,ではあるまいし,hb,Noun ではあるまいし (~dewa aru maishi),,"Use this phrase to mean 'it's not as if', 'it's not that'.",Noun + ではあるまいし,family=まい family
OK,ではまいか,jk,, noun + ではまいか ,I wonder if / isn't it possibly,Noun / na-adj + ではあるまいか; V plain + のではあるまいか.,family=まい family
REVIEW,でもない,jk,,V ない-form + でもない,not that I don't / it's not impossible to,V ない-form + でもない.,junk=fragment of Vない+でもない family
OK,でもなんでもない,jk,, na-adj + でもなんでもない,not even slightly / not at all,i-adj stem + くもなんともない; na-adj / noun + でもなんでもない.,
OK,とあって,hb,～とあって (〜to atte),,Expresses a special situation or event due to certain circumstances.,Noun + とあって,
OK,とあっては,jk,,Plain form / noun + とあっては,if it's (a case of) / given that it is,Noun + とあっては; plain-form clause + とあっては.,
OK,とあれば,hb,～とあれば (〜to areba),,"Express a condition; 'if', 'when', 'since'.","Verb-casual + とあれば, い-Adjective + とあれば,な-Adjective + だとあれば, Noun + だとあれば",
OK,といい～といい,hb,Noun といい Noun といい (〜toii〜toii),,Used to express 'both A and B'; 'whether it's A or B'; 'not to mention A and also B'.,Noun1 + といい + Noun2 + といい + Comment,family=といい…といい
REVIEW,という,hb,Noun という Noun (~to iu~),,"Used to specify or define one noun with another; 'the noun called', 'the noun that is' or 'a certain'.",Noun1 という Noun2,junk=ours N3 basic (～という～); dupe_ours=N3 ～という～
OK,というか～というか,hb,A というか B というか (A to iu ka B to iu ka),,"This phrase translates to 'rather than say A, it's more like B' or 'whether to call it A or B'.","Phrase A + というか, + Phrase B + というか",
OK,というところだ,hb,Noun というところだ (Noun to iu tokoro da),,Means 'it's approximately...' or 'it's about...'. Used to show approximation or a general assessment.,Noun + というところだ,family=うが/うと indifference pair
REVIEW,というもの,hb,Noun + というもの (~ to iu mono),,"Used to express 'every', 'all'. Concept of generic reference.",Noun + というもの,junk=keep? generic ～というもの N1-ish (check at write time)
REVIEW,といえども,hb+jk,～といえども (〜to iedomo),Plain form + といえども,Even if it is said that; Even though; Although,"Noun + といえども, Verb-plain form + といえども",junk=ours N2 ～といえども; dupe_ours=N2 ～といえども
OK,といったところだ,hb+jk,Noun といったところだ (Noun to itta tokoro da),Number / noun + といったところだ,"Expresses 'at most', 'as much as', 'limited to'.",Noun + といったところだ,
OK,といったらありはしない,hb,～といったらありはしない (〜to ittara ari wa shinai),,"Express extreme exclamation; 'extremely', 'unbelievable', 'unsurpassed'.","Noun + といったらありはしない, な-Adjective + といったらありはしない",
OK,といったらない,hb,～といったらない。 (〜to ittara nai),,Expresses the extreme of something; 'nothing can be more ... than this',"i-Adjective + といったらない, な-Adjective + だといったらない, Noun + だといったらない",
OK,といわず～といわず,hb+jk,Noun といわず Noun といわず (A to iwazu B to iwazu),Noun + といわず + noun + といわず,Expresses an idea of 'both A and B' or 'be it A or B'; 'not only A but also B'.,Noun1 + といわず + Noun2 + といわず + (rest of the sentence),family=といわず…といわず
OK,とおぼしい,jk,,Plain form + とおぼしい ,seems to be / presumed to be,Plain form / noun + とおぼしい; attributive: とおぼしき + noun.,
OK,とおぼしき,jk,, とおぼしき,seems to be / presumed to be,Plain form / noun + とおぼしい; attributive: とおぼしき + noun.,
OK,ときたら,hb,Noun + ときたら (〜tokitara),,"Expresses strong feelings about a matter; 'speaking of', 'when it comes to'.",Noun + ときたら,
OK,ときている,hb,～ときている (〜to kite iru),,"Used to express that a situation is serious or extreme, often with a negative connotation.","Verb-casual, い-Adjective, な-Adjective +で + ときている, Noun + だ + ときている",
OK,ところを,hb+jk,～ところを (〜tokoro wo),V plain / adj + ところを,Expresses the concept of 'despite' or 'even though'.,"Verb-てform + いる + ところを, Noun + の + ところを, い-Adjective + ところを, な-Adjective + な + ところを",
REVIEW,とされている,jk,, とされている,is considered / is said to be,Plain-form clause / noun + とされる / とされている.,junk=N2 passive assessment (check level)
REVIEW,とされる,hb+jk,～とされる (〜to sareru),Plain form + とされる ,"Indicates a general belief or widely accepted view; often translated as 'is considered', 'is seen as', 'is said to be'.","Verb-casual + とされる, い-Adjective + とされる, な-Adjective + だとされる, Noun + だとされる",junk=N2 passive assessment (check level)
OK,としたところで,hb+jk,～としたところで (〜to shita tokoro de),Plain form + としたところで,Even if; even though; even assuming,"Verb-casual + としたところで, い-Adjective + としたところで,な-Adjective + だとしたところで, Noun + だとしたところで",
REVIEW,とすると,hb,～とすると (〜to suru to),,"Expresses 'when', 'if', 'given that' in a speculative or hypothetical sense.","Verb-casual + とすると, い-Adjective + とすると,な-Adjective + だとすると, Noun + だとすると",junk=N3 conditional material
REVIEW,とすれば,hb,～とすれば (～to sureba),,"Used to express 'if it were the case', 'if we assume'.","Verb-casual + とすれば, い-Adjective + とすれば, な-Adjective + だとすれば, Noun + だとすれば",junk=N3 conditional material
REVIEW,となったら,hb,～となったら (〜to nattara),,"Used to express 'when', 'if it comes to', 'in the case of'.","Verb-casual + となったら, Noun + となったら",junk=N2 conditional (check level)
REVIEW,となると,hb+jk,～となると (〜to naru to),Plain form + となると,"Used to highlight a certain circumstance or condition; 'when it comes to', 'if it becomes', 'in the case of'.","Verb-casual + となると, い-Adjective + となると,な-Adjective + だとなると, Noun + だとなると",junk=N2 conditional (check level)
REVIEW,となれば,hb+jk,～となれば (〜to nareba),Plain form + となれば,Expresses the idea of 'if it comes to...; when we talk about...; in the case of...'.,"Verb-casual + となれば, い-Adjective + となれば,な-Adjective + だとなれば, Noun + だとなれば",junk=N2 conditional (check level)
REVIEW,とのことだ,hb,～とのことだ (〜to no koto da),,"Expresses something that the speaker heard; 'I've heard that', 'I was told that'.",Simplified phrase + とのことだ,"junk=N3/N2 hearsay, below N1"
REVIEW,とは,jk,,Plain form + とは,to think that / I didn't expect that / the fact that,Plain-form clause + とは.,dupe_ours=N2 ～とは
REVIEW,とはいえ,hb,～とはいえ (～to wa ie),,Even though; although; but,"Noun + とはいえ, な-Adjective + だとはいえ, い-Adjective + とはいえ, Verb-casual + とはいえ",junk=N2 contrast (check level at write time)
OK,とは比べものにならない,hb,Noun とは比べものにならない (~to wa kurabemono ni naranai),,"To indicate something is not comparable with; 'not comparable to', 'beyond comparison'.",Noun + とは比べものにならない,
OK,とは裏腹に,jk,,Noun / plain form + とは裏腹に,contrary to / in contrast to (expectation vs reality),Noun / plain form + とは裏腹に.,
OK,とみえて,hb,～とみえて (〜to miete),,It seems that; apparently,"Verb-casual + とみえて, い-Adjective + とみえて,な-Adjective + だとみえて, Noun + だとみえて",
REVIEW,とみなす,jk,,Noun / plain form + とみなす,regard as / consider as / deem to be,Noun / plain form + とみなす (polite: とみなします); passive: とみなされる.,"junk=vocabulary verb, N3-ish (check level)"
REVIEW,とみられる,hb,～とみられる (～to mirareru),,It is considered that; It is thought that; It is believed that,"Verb-casual+ とみられる, Noun + とみられる",junk=ours N2 ～とみられる; dupe_ours=N2 ～とみられる
OK,とみると,hb,～とみると (〜to miru to),,"Expresses the concept of 'when one sees it as', 'viewed as', or 'considering'.","Verb-casual + とみると, い-Adjective + とみると, な-Adjective + だとみると, Noun + だとみると",
OK,とも,jk,,V volitional + とも ,no matter what / whatever happens,"V volitional + とも. Common: あろうとも, あるいは どうあろうとも.",
OK,ともあろう,hb+jk,Noun + ともあろう + Noun (~tomoarou~),Noun + ともあろう + noun,Used to point out unbecoming behavior of a person or thing with certain status,Noun + ともあろう,
OK,ともあろうとも,jk,,V volitional + とも / あろうとも,no matter what / whatever happens,"V volitional + とも. Common: あろうとも, あるいは どうあろうとも.",family=うが/うと indifference pair
OK,ともなると,hb,Noun ともなると (〜to mo naruto),,"'When it comes to..', 'In case of..', signifies change.",Noun + ともなると,
OK,ともなれば,hb+jk,Noun ともなれば (〜to mo nareba),Noun / V plain + ともなれば,"Expresses the meaning of 'if it comes to', 'when', or 'once'.",Noun + ともなれば,
OK,とも～とも,hb,A とも B とも (A tomo B tomo),,"Express two possibilities; 'either A or B', 'whether A or B'.",Noun + とも + Noun + とも,
OK,とやら,jk,,Noun / plain form + とやら,some kind of / (I hear) something like,Noun + とやら; plain-form clause + とやら.,
OK,と思いきや,jk,,Plain form + と思いきや,but contrary to expectation / I thought but,Plain-form clause + と思いきや.,
OK,と相まって,hb+jk,Noun と相まって (~ to aimatte),Noun + と相まって,"Used to express 'in combination with', 'together with', 'along with'.",Noun + と相まって,
OK,と言わんばかりに,hb,～と言わんばかりに (〜to iwan bakari ni),,Indicates an action or behavior that strongly implies a certain unspoken message or feeling.,"Verb-volitional + と言わんばかりに, い-Adjective + と言わんばかりに, な-Adjective + だと言わんばかりに, Noun + だと言わんばかりに",family=ん+classical aux family
OK,と言わんばかりの,hb,～と言わんばかりの Noun (～to iwan bakari no Noun),,Expresses the concept of 'as if to say'; 'almost says'; 'suggests'.,Verb-plain form + と言わんばかりの Noun,family=ん+classical aux family
REVIEW,と～を兼ねて,hb,Noun と Noun を兼ねて (Noun to Noun o kanete),,Used to express the idea of doing two things at once or serving two purposes.,Noun + と + Noun + を兼ねて,junk=兼ねて is N3/N2 material (check ours/level)
OK,どんなに～うが,hb,どんなに～うが (donna ni ～ u ga),,"Expresses 'no matter how much...', 'even if...'.","どんなに + Verb-casual + うが, どんなに + い-Adjective + うが, どんなに + な-Adjective + だろうが",family=うが/うと indifference pair
OK,ないではおかない,hb+jk,Verb ないではおかない (~ nai de wa okanai),V ない-form + ではおかない,Used to indicate that something definitely happens as a result or a consequence of a certain action.,Verb-ない form + ではおかない,family=ずにはおかない family
OK,ないではすまない,hb+jk,Verb ないではすまない (Verb nai dewa sumanai), ないではすまない,"Express a condition that 'cannot end without doing', 'must do no matter what', or 'cannot help but do'.",Verb-negative form + ではすまない,family=ずにはすまない family
OK,ないまでも,hb,Verb ないまでも (Verb nai made mo),,Even if not completely; at least,Verb-ない form + までも,
OK,ないものだろうか,hb,Verb ないものだろうか (Verb nai mono darou ka),,"Expressing the desire or inquisition; 'Can't I/you/we', 'Shouldn't I/you/we'.",Verb-casual + ないものだろうか,
OK,ないものでもない,hb,Verb ないものでもない (Verb nai mono demo nai),,Expresses the idea that 'it's not that I don't...'; 'it's not that there aren't...',Verb-negative form (ない form) + ものでもない,
OK,ながらに,hb+jk,～ながらに (～nagara ni),Noun / V stem + ながらに(して),"Expresses the meaning 'while', 'as', or 'since'.","Noun + ながらに, な-Adjective (without 'na') + ながらに",
REVIEW,ながらの,hb+jk,～ながらの Noun (〜nagara no Noun),Noun + ながらの + noun,This grammar point is used to indicate that two actions are happening simultaneously.,Verb-てform + ながらの + Noun,junk=distinct N1? ours N4 ～ながら base (check at write time)
OK,ながらも,hb+jk,～ながらも (〜nagara mo),V ます-stem / i-adj / noun + ながらも,Despite doing something or 'even though'.,Verb-ながらも,
OK,なくして,jk,,Noun + なくして(は),without / unable to X without,Noun + なくして(は) + negative / impossibility main clause.,
OK,なくして～はない,hb,Noun なくして～はない (Noun nakushite ~ wa nai),,"Expresses the idea 'without ~, there can't be ~'; 'can't do ~ without first doing ~'.",Noun + なくして + Sentence ～はない,
OK,なくはない,hb,～なくはない (〜naku wa nai),,"Used to express the idea that 'it's not that it's not', implying something is possible but not certain.","Verb-ないform + なくはない, い-Adjective－い ＋ くはない, な-Adjective + ではなくはない, Noun + ではなくはない",
OK,なくもない,hb,～なくもない (〜naku mo nai),,"Express the possibility; 'not impossible', 'might as well'.","Verb-ないform + もない, い-Adjective-removeい + くもない, な-Adjective + でもない, Noun + でもない",
OK,なしでは～ない,hb,Noun なしでは～ない (Noun nashi de wa ~nai),,"Expresses the necessity of something; 'cannot do without', 'not possible without'.",Noun + なしでは～ない,
OK,なしに,jk,,Noun + なしに(は),without / unless,Noun + なしに(は).,
OK,なしには～ない,hb,Noun なしには～ない (Noun nashi ni wa ~nai),,"It means 'without', 'cannot do without', 'not possible without'.",Noun + なしには + Verb-negative,
OK,ならいざ知らず,hb+jk,Noun ならいざ知らず (~nara izashirazu),Noun / plain form + ならいざ知らず,"Expresses 'not to mention', 'let alone'.",Noun1 + ならいざ知らず + Noun2,
OK,ならでは,hb+jk,Noun + ならでは (~nara de wa),Noun + ならでは(の),"Expresses 'only', 'characteristic of'.",Noun + ならでは,
OK,ならまだしも,jk,,Noun / plain form + ならまだしも,"if it were at least X (that would be OK, but)",Noun + ならまだしも; plain-form clause + ならまだしも.,
OK,なら～なりに,hb,～なら～なりに,,"This grammar point means 'if it is X, it is X in its own way', emphasizing the characteristics of X.",Noun + なら(そのN)なりに/Adjective + なら(その adj.)なりに,family=なり family
REVIEW,なり,jk,,V + なり + noun,either X or Y / whether X or Y,Noun + なり + noun + なり; V dict-form + なり + V dict-form + なり.,family=なり family; junk=fragment of ～なり～なり / Vなり family
