"Grammar Point","Meaning","Formation","Example (Japanese)","Example (Romaji)","Example (English)","JLPT Level"
"Noun1 も Noun1 なら、Noun2 も Noun2 だ (A mo A nara, B mo B da)","The structure expresses 'if it is said that ~, then it can be said that ~' or '~ not only, but also ~'.","Noun1 + も + Noun1 + なら、Noun2 + も + Noun2 + だ","君も君なら、私も私だ。","Kimi mo kimi nara, watashi mo watashi da.","If you are you, then I am also me.","JLPT N1"
"Noun + あっての + Noun (A atteno B)","Expresses the idea 'nothing without'; something being indispensable for the existence of something else.","Noun1 + あっての + Noun2","家族あっての私です。","Kazoku atte no watashi desu.","I am nothing without my family.","JLPT N1"
"Noun かたがた (Noun kata gata)","Used when doing one thing while also doing another; 'while', 'and at the same time'.","Noun + かたがた","東京へ出張のかたがた、友人に会いに行った。","Toukyou e shuccho no kata gata, yujin ni ai ni itta.","While I was on a business trip to Tokyo, I went to see a friend.","JLPT N1"
"Noun がてら (Noun gatera)","At the same time; on the occasion of; while; along with.","Noun + がてら","散歩がてらに、近くの公園で花を摘みました。","Sanpo gatera ni, chikaku no kouen de hana wo tsumimashita.","While taking a walk, I picked flowers in the nearby park.","JLPT N1"
"Noun からある (〜kara aru)","Expresses 'beginning from', 'from' or 'after'. Often used to indicate a high number or large scale.","Number + Counter + からある","彼のコレクションは500個からある。","Kare no korekushon wa gohyaku ko kara aru.","His collection starts from 500 items.","JLPT N1"
"Noun からする (Noun kara suru)","Used to indicate that something is judged, estimated, or considered from a certain point or aspect.","Noun + からする","彼の態度からすると、彼はその計画に反対しているようだ。","Kare no taido kara suru to, kare wa sono keikaku ni hantai shiteiru you da.","Judging from his attitude, he seems to be against the plan.","JLPT N1"
"Noun からの (~kara no)","Defines the starting point or the origin; 'from'.","Noun + からの","日本からの手紙を受け取りました。","Nihon kara no tegami wo uketorimashita.","I received a letter from Japan.","JLPT N1"
"Noun から言わせれば (~kara iwasereba)","Express the perspective of noun; 'from ~ point of view'","Noun + から言わせれば","先生から言わせれば、毎日勉強するべきだ。","Sensei kara iwasereba, mainichi benkyou suru beki da.","From the teacher's point of view, you should study every day.","JLPT N1"
"Noun + ぐるみ (〜gurumi)","This term is used to describe 'entirely', 'altogether', 'as a whole' or 'collectively'.","Noun + ぐるみ","家族ぐるみで旅行に行きました。","Kazoku gurumi de ryokou ni ikimashita.","We went on a trip as a whole family.","JLPT N1"
"Noun こそあれ (~kosoare)","Expresses the meaning 'even if'; 'no matter'.","Noun + こそあれ","結果こそあれ、努力したことには変わりない。","Kekka koso are, doryoku shita koto ni wa kawari nai.","Even if the result is what it is, the fact that we made an effort won't change.","JLPT N1"
"Noun こそ～が (~koso~ga)","Used to emphasize that it is precisely because of something, that another statement is true.","Noun + こそ + Sentence + が","初めてこそたいせつだが、諦めないことが一番大切だ。","Hajimete koso taisetsu da ga, akiramenai koto ga ichiban taisetsu da.","The first step is important, of course, but what's most crucial is that you don't give up.","JLPT N1"
"Noun こそすれ (~koso sure)","An emphatic expression for 'if anything', 'especially', and 'it is', which shows that other alternatives are hardly conceivable.","Noun + こそすれ","仕事こそすれ何もしていない。","Shigoto kososure nani mo shite inai.","I am not doing anything if not working.","JLPT N1"
"Noun ごとき / Noun ごとく (〜gotoki/〜gotoku)","'Like a...', 'like...', or 'as if'. Expresses similarity or metaphor.","Noun + ごとき, Noun + ごとく, Verb-casual + ごとく, い-Adjective + ごとく","彼は天使のごとく純粋だ。","Kare wa tenshi no gotoku junsui da.","He is pure like an angel.","JLPT N1"
"Noun じゃあるまいし (~ja aru mai shi)","Expressing that something 'is not'; 'is not the case'.","Noun or Na-Adjective + じゃあるまいし","彼は子供じゃあるまいし、その問題をしっかりと解決するべきだ。","Kare wa kodomo ja aru mai shi, sono mondai o shikkari to kaiketsu suru beki da.","He's not a child, he should solve that problem properly.","JLPT N1"
"Noun ずくめ (~zukume)","Denotes 'entirely' or 'nothing but'.","Noun + ずくめ","彼は最近、失敗ずくめだ。","Kare wa saikin, shippai zukume da.","He has been nothing but failures recently.","JLPT N1"
"Noun だけではすまない (Noun dake dewa sumanai)","Expresses 'not finish/end with just', 'cannot be settled only by'.","Noun + だけではすまない","この問題は謝罪だけではすまない。","Kono mondai wa shazai dake dewa sumanai.","This problem cannot be settled with just an apology.","JLPT N1"
"Noun たりとも～ない (~tari tomo ~nai)","This expression shows the meaning of 'not even', 'not a single'.","Noun + たりとも + Negative Verb","一分たりとも無駄にするな。","Ippun tari tomo muda ni suruna.","Don't waste even a single minute.","JLPT N1"
"Noun たる Noun (~taru~)","Expresses the idea of 'being in the condition or state of'","Noun1 + たる + Noun2","リーダータル者は、常に前を見て、他の人々を導くべきだ。","Riidaa taru mono wa, tsune ni mae o mite, hoka no hitobito o michibiku beki da.","A person who is a leader should always look ahead and guide others.","JLPT N1"
"Noun ですら (~desura)","Express 'even', 'even if', or 'as much as'.","Noun + ですら","明日試験があるのに、彼はテキストブックを読むですらしない。","Ashita shiken ga aru noni, kare wa tekisutobukku o yomu desura shinai.","Even though we have a test tomorrow, he doesn't even read the textbook.","JLPT N1"
"Noun でなくてなんだろう (〜de nakute nandarou)","Expresses the speaker's strong belief that something is certainly the case.","Noun + でなくてなんだろう","これが真実でなくてなんだろう。","Kore ga shinjitsu de nakute nandarou.","If this isn't the truth, then what is?","JLPT N1"
"Noun ではあるまいし (~dewa aru maishi)","Use this phrase to mean 'it's not as if', 'it's not that'.","Noun + ではあるまいし","彼女は、プロの歌手ではあるまいし、完璧を求めるな。","Kanojo wa, puro no kashu de wa arumai shi, kanpeki o motomeru na.","She is not a professional singer, so don't demand perfection.","JLPT N1"
"Noun と Noun を兼ねて (Noun to Noun o kanete)","Used to express the idea of doing two things at once or serving two purposes.","Noun + と + Noun + を兼ねて","お父さんは社長と経理部長を兼ねています。","Otousan wa shachou to keiri buchou o kanete imasu.","My father serves as both the company president and the head of accounting.","JLPT N1"
"Noun といい Noun といい (〜toii〜toii)","Used to express 'both A and B'; 'whether it's A or B'; 'not to mention A and also B'.","Noun1 + といい + Noun2 + といい + Comment","日本の食べ物といい観光地といい、すべてが素晴らしいです。","Nihon no tabemono to ii kankouchi to ii, subete ga subarashii desu.","Both Japanese food and tourist spots are all wonderful.","JLPT N1"
"Noun という Noun (~to iu~)","Used to specify or define one noun with another; 'the noun called', 'the noun that is' or 'a certain'.","Noun1 という Noun2","宮崎駿という人は有名なアニメーション監督です。","Miyazaki Hayao to iu hito wa yuumei na animation kantoku desu.","The person called Hayao Miyazaki is a famous animation director.","JLPT N1"
"Noun というところだ (Noun to iu tokoro da)","Means 'it's approximately...' or 'it's about...'. Used to show approximation or a general assessment.","Noun + というところだ","今回の試験の合格者は半数というところだろう。","Konkai no shiken no goukakusha wa hansuu to iu tokoro darou.","The passers in this exam would be approximately half.","JLPT N1"
"Noun + というもの (~ to iu mono)","Used to express 'every', 'all'. Concept of generic reference.","Noun + というもの","子供というものは、毎日たくさん遊びます。","Kodomo to iu mono wa, mainichi takusan asobimasu.","Children, as a group, play a lot every day.","JLPT N1"
"Noun といったところだ (Noun to itta tokoro da)","Expresses 'at most', 'as much as', 'limited to'.","Noun + といったところだ","彼の英語レベルは初級といったところだ。","Kare no eigo reberu wa shokyuu to itta tokoro da.","His English level is at most beginner level.","JLPT N1"
"Noun といわず Noun といわず (A to iwazu B to iwazu)","Expresses an idea of 'both A and B' or 'be it A or B'; 'not only A but also B'.","Noun1 + といわず + Noun2 + といわず + (rest of the sentence)","冬といわず夏といわず、彼はいつもアイスクリームを食べます。","Fuyu to iwazu natsu to iwazu, kare wa itsumo aisukurīmu o tabemasu.","Be it winter or summer, he always eats ice cream.","JLPT N1"
"Noun + ときたら (〜tokitara)","Expresses strong feelings about a matter; 'speaking of', 'when it comes to'.","Noun + ときたら","寿司ときたら、彼は何も食べれない。","Sushi tokitara, kare wa nani mo taberenai.","When it comes to sushi, he can't eat anything.","JLPT N1"
"Noun とは比べものにならない (~to wa kurabemono ni naranai)","To indicate something is not comparable with; 'not comparable to', 'beyond comparison'.","Noun + とは比べものにならない","新しい車の速さは古い車とは比べ物にならない。","Atarashii kuruma no hayasa wa furui kuruma to wa kurabemono ni naranai.","The speed of the new car is not comparable to the old car.","JLPT N1"
"Noun + ともあろう + Noun (~tomoarou~)","Used to point out unbecoming behavior of a person or thing with certain status","Noun + ともあろう","先生ともあろう者が、そんな間違いをするなんて。","Sensei tomoarou mono ga, sonna machigai o suru nante.","For someone claiming to be a teacher, it's shocking that they would make such a mistake.","JLPT N1"
"Noun ともなると (〜to mo naruto)","'When it comes to..', 'In case of..', signifies change.","Noun + ともなると","クリスマスともなると、街中がきらきらと輝いて見えます。","Kurisumasu to mo naruto, machijuu ga kirakira to kagayaite miemasu.","When it comes to Christmas, the whole city seems to sparkle.","JLPT N1"
"Noun ともなれば (〜to mo nareba)","Expresses the meaning of 'if it comes to', 'when', or 'once'.","Noun + ともなれば","試験ともなれば、大抵の人が緊張するものです。","Shiken to mo nareba, taitei no hito ga kinchou suru mono desu.","When it comes to exams, most people get nervous.","JLPT N1"
"Noun と相まって (~ to aimatte)","Used to express 'in combination with', 'together with', 'along with'.","Noun + と相まって","天気の良さと相まって、ピクニックは大成功でした。","Tenki no yosa to aimatte, pikunikku wa daiseikou deshita.","Thanks to the good weather, the picnic was a great success.","JLPT N1"
"Noun なくして～はない (Noun nakushite ~ wa nai)","Expresses the idea 'without ~, there can't be ~'; 'can't do ~ without first doing ~'.","Noun + なくして + Sentence ～はない","努力なくして成功はない。","Doryoku nakushite seikou wa nai.","There is no success without making an effort.","JLPT N1"
"Noun なしでは～ない (Noun nashi de wa ~nai)","Expresses the necessity of something; 'cannot do without', 'not possible without'.","Noun + なしでは～ない","水なしでは生きられない。","Mizu nashi de wa ikirarenai.","We cannot live without water.","JLPT N1"
"Noun なしには～ない (Noun nashi ni wa ~nai)","It means 'without', 'cannot do without', 'not possible without'.","Noun + なしには + Verb-negative","お金なしには生活ができない。","Okane nashi niwa seikatsu ga dekinai.","Without money, life is not possible.","JLPT N1"
"Noun ならいざ知らず (~nara izashirazu)","Expresses 'not to mention', 'let alone'.","Noun1 + ならいざ知らず + Noun2","数学ならいざ知らず、物理なんて全然わからない。","Suugaku nara iza shirazu, butsuri nante zenzen wakaranai.","I don't understand physics at all, not to mention maths.","JLPT N1"
"Noun + ならでは (~nara de wa)","Expresses 'only', 'characteristic of'.","Noun + ならでは","これは日本ならではの風景ですね。","Kore wa Nihon nara dewa no fuukei desu ne.","This is a landscape characteristic of Japan, isn't it?","JLPT N1"
"Noun なり Noun なり (A nari B nari)","Indicates several alternatives; 'either...or', 'such as...'","Noun + なり + Noun + なり","映画なり、音楽なり、何か趣味はありますか。","Eiga nari, ongaku nari, nanika shumi wa arimasu ka?","Do you have any hobbies, like movies or music?","JLPT N1"
"Noun なりとも (~nari tomo)","Indicates even a small amount or degree; 'even a little', 'at least'.","Noun + なりとも","時間が限られているので、一時間なりとも練習すべきだ。","Jikan ga kagirarete iru node, ichi jikan nari tomo renshuu subeki da.","Since time is limited, you should practice for at least an hour.","JLPT N1"
"Noun に Noun を重ねて (A ni B wo kasanete)","This expression is used to describe repeated actions or states, 'one after another' or 'pile up'.","Noun に Noun を重ねて","彼女は失敗に失敗を重ねて、とうとう会社を辞めた。","Kanojo wa shippai ni shippai wo kasanete, toutou kaisha wo yameta.","She piled up failures upon failures and finally quit the company.","JLPT N1"
"Noun にあっては (Noun ni atte ha)","Indicates a specific situation or environment in which something happens or is the case.","Noun + にあっては","戦争時にあっては、すべての人々が困難に直面していました。","Sensouji ni atte ha, subete no hito ga konnan ni chokumen shiteimashita.","In wartime, all people were facing difficulties.","JLPT N1"
"Noun にあるまじき Noun (Noun ni aru majiki Noun)","Expresses the idea of 'unfitting', 'unbecoming' or 'inappropriate'.","Noun1 にあるまじき Noun2","彼は教師にあるまじき言動をとった。","Kare wa kyoushi ni aru majiki gendou wo totta.","He took actions that are unbecoming of a teacher.","JLPT N1"
"Noun にして (Noun ni shite)","Expresses the idea 'even for', 'even though', or 'in spite of'.","Noun + にして","彼は医者にしてその基本的な知識がないのが信じられない。","Kare wa isha ni shite sono kihonteki na chishiki ga nai no ga shinjirarenai.","I can't believe that even as a doctor, he doesn't have that basic knowledge.","JLPT N1"
"Noun にして初めて (Noun nishite hajimete)","Expresses 'only when/after... for the first time'.","Noun + にして初めて","大人にして初めて、親の苦労が分かった。","Otona ni shite hajimete, oya no kurou ga wakatta.","Only when I became an adult, I understood my parents' struggles for the first time.","JLPT N1"
"Noun にすら (〜ni sura)","Expresses the concept of 'even'; 'even in', 'even as', 'even to'.","Noun + にすら","彼にすらその問題は解けなかった。","Kare ni sura sono mondai wa tokenakatta.","Even he could not solve that problem.","JLPT N1"
"Noun にとどまらず～も (~ ni todomarazu ~ mo)","This expresses the idea of 'not only...but also', 'not stopping at...'","Noun + にとどまらず + Noun + も","このアプリは、日本語にとどまらず、他の言語もサポートしています。","Kono apuri wa, nihongo ni todomarazu, hoka no gengo mo sapooto shite imasu.","This app not only supports Japanese, but also other languages.","JLPT N1"
"Noun にひきかえ Noun は (~ni hikikae ~ wa)","Represents 'in contrast to', 'as opposed to'.","Noun 1 + にひきかえ + Noun 2 + は","彼の親切さにひきかえ、彼女は無感情だ。","Kare no shinsetsusa ni hikikae, kanojo wa mukanjou da.","In contrast to his kindness, she is emotionless.","JLPT N1"
"Noun にもまして (〜ni mo mashite)","This expresses 'Even more than; exceeding'.","Noun + にもまして","私は彼にもまして、音楽を愛しています。","Watashi wa kare ni mo mashite, ongaku o aishiteimasu.","I love music even more than he does.","JLPT N1"
"Noun によらず (～ni yorazu)","Regardless of, irrespective of.","Noun + によらず","結果は勉強時間によらず変わらないでしょう。","Kekka wa benkyou jikan ni yorazu kawaranai deshou.","The result will not change regardless of the study time.","JLPT N1"
"Noun に先駆けて (〜ni saki gakete)","Meaning 'ahead of', 'before', or 'preceding in time'.","Noun + に先駆けて","この映画は日本に先駆けて、アメリカで公開されました。","Kono eiga wa Nippon ni saki gakete, Amerika de koukai saremashita.","This film was released in America ahead of Japan.","JLPT N1"
"Noun に即した Noun (A ni sokushita B)","Expresses the idea of 'in accordance with', 'based on'.","Noun1 + に即した + Noun2","社会のニーズに即した教育改革が必要だ。","shakai no nīzu ni sokushita kyouiku kaikaku ga hitsuyou da.","We need an educational reform that is in accordance with the needs of society.","JLPT N1"
"Noun に即して Verb (〜ni soku shite ~)","The grammar point Noun に即して Verb is used to mean 'to act in accordance with', 'in line with' or 'based on'.","Noun + に即して + Verb","会社のポリシーに即して行動しましょう。","Kaisha no porishi ni soku shite koudo shimashou.","Let's act in accordance with the company's policy.","JLPT N1"
"Noun に言わせれば (Noun ni iwasereba)","Expresses 'according to', 'if you ask', 'in the opinion of'.","Noun + に言わせれば","先生に言わせれば、毎日勉強することが重要だと言う。","Sensei ni iwasereba, mainichi benkyou suru koto ga juuyou da to iu.","According to the teacher, it's important to study every day.","JLPT N1"
"Noun に限ったことではない (〜ni kagitta koto dewa nai)","Indicates that something is not only limited to; 'not only', 'not just'.","Noun + に限ったことではない","この問題は日本に限ったことではない。","Kono mondai wa Nihon ni kagitta koto dewa nai.","This issue is not only limited to Japan.","JLPT N1"
"Noun に限ったことでもない (~ ni kagitta koto demo nai)","'Not limited to'; 'not just', 'not exclusively'.","Noun + に限ったことでもない","この試験が難しいのは、数学に限ったことでもない。","Kono shiken ga muzukashii no wa, suugaku ni kagitta koto demo nai.","The exam being difficult is not limited to just math.","JLPT N1"
"Noun に限る (~ni kagiru)","Expresses the idea that 'nothing but', 'nothing is better than'.","Noun + に限る","こういう時には家族に話すに限る。","Kou iu toki ni wa kazoku ni hanasu ni kagiru.","At times like this, there's nothing better than talking to your family.","JLPT N1"
"Noun ぬいた Noun (A nuita B)","Expresses the idea of 'taking something out from something else'.","Noun1 + をぬいた + Noun2","このサラダはにんじんをぬいたサラダです。","Kono sarada wa ninjin o nuita sarada desu.","This is a salad with the carrots removed.","JLPT N1"
"Noun + ぬいて（~nuite)","This is a way to express 'minus' or 'except for' some specific noun.","Noun + ぬいて","私たちは、彼ぬいて全員が集まることができました。","Watashitachi wa, kare nuite zen'in ga atsumaru koto ga dekimashita.","We were able to gather everyone except for him.","JLPT N1"
"～ぬく (~nuku)","Expresses the concept of doing something completely or thoroughly.","Verb-stem + ぬく","彼は一日中本を読みぬく。","Kare wa ichinichijuu hon o yominuku.","He will read the book all day long.","JLPT N1"
"Noun+のいかんだ (Noun no ikan da)","Depends on; up to","Noun + のいかんだ/Noun + のいかんでは","彼が来るのいかんで決めよう。","Kare ga kuru no ikan de kimeyou.","Let's decide depending on whether he comes or not.","JLPT N1"
"Noun のいかんでは (Noun no ikan de wa)","It depends on the Noun","Noun + のいかんでは","試験の結果のいかんでは、大学の入学許可を得られるかどうかが決まります。","Shiken no kekka no ikan dewa, daigaku no nyuugaku kyoka o erareru ka douka ga kimarimasu.","Whether you can get permission to enter university depends on the result of the exam.","JLPT N1"
"Noun のいかんにかかわらず (Noun no ikan ni kakawarazu)","Regardless of, irrespective of.","Noun + のいかんにかかわらず","結果のいかんにかかわらず、彼は決定を後悔しなかった。","Kekka no ikan ni kakawarazu, kare wa kettei wo koukai shinakatta.","Regardless of the outcome, he didn't regret his decision.","JLPT N1"
"Noun のいかんによっては (Noun no ikan ni yotte wa)","Depending on the matter; depending on noun","Noun + のいかんによっては","天気のいかんによっては、ピクニックを延期しましょう。","Tenki no ikan ni yotte wa, pikunikku o enki shimashou.","Depending on the weather, we should postpone the picnic.","JLPT N1"
"Noun のいかんによらず (~ no ikan ni yorazu)","Means 'regardless of', 'irrespective of', or 'no matter'","Noun + のいかんによらず","試験の結果のいかんによらず、自分を信じ続けてください。","Shiken no kekka no ikan ni yorazu, jibun o shinji tsudzukete kudasai.","Regardless of the test results, keep believing in yourself.","JLPT N1"
"Noun のごとき Noun (A no gotoki B)","Expresses 'like' or 'as if'; something/someone resembles much to something else","Noun1 + のごとき + Noun2","彼は神のごとき存在だ。","Kare wa kami no gotoki sonzai da.","He is an existence like a god.","JLPT N1"
"Noun のことだから (〜no koto dakara)","Because it is about ~, considering it's ~","Noun + のことだから","彼のことだから、きっと大丈夫だと思う。","Kare no koto dakara, kitto daijoubu da to omou.","Because it's him, I think it will certainly be fine.","JLPT N1"
"Noun の 嫌いがある (Noun no kirai ga aru)","Have a dislike for a particular Noun","Noun + の嫌いがある","彼は魚の嫌いがあるので、寿司を食べません。","Kare wa sakana no kirai ga aru node, sushi o tabemasen.","He has a dislike for fish, so he doesn't eat sushi.","JLPT N1"
"Noun の手前 (~no temae)","Expresses the idea of 'Before doing action; on the verge of'.","Noun + の手前","試験の手前、遊びに行くのは止めた方がいい","Shiken no temae, asobi ni iku no wa yameta hou ga ii.","Just before the exam, it's better to stop going to play.","JLPT N1"
"Noun の極み (〜no kiwami)","Used to express the extreme or utmost point of something.","Noun + の極み","彼の料理の極みは、誰もマネできない。","Kare no ryouri no kiwami wa, daremo mane dekinai.","The pinnacle of his cooking, nobody can imitate.","JLPT N1"
"Noun の 至り (~no itari)","Expresses the highest degree of something, 'the height of', 'the extreme of'.","Noun + の至り","彼の冗談には驚きの至りだ。","Kare no joudan ni wa odoroki no itari da.","His jokes are the height of surprise.","JLPT N1"
"Noun はいざ知らず (~ wa iza shirazu)","Used to express that it's understood why 'A' would be the case but not 'B'. It's like saying 'Well, I can understand it for A, but for B...?'","Noun + はいざ知らず, Noun + だけど/しかし/とは言え","彼が遅れるのはいざ知らず、彼女まで遅刻するとは意外だ。","Kare ga okureru no wa iza shirazu, kanojo made chikoku suru towa igai da.","Well, I can understand him being late, but even her...? That's surprising.","JLPT N1"
"Noun は おろか～すら (Noun wa oroka ～sura)","Expresses the meaning of 'not to mention ~, even ~'.","Noun1 はおろか, Noun2 すら/さえ","彼は走るはおろか、速く歩くことすらできない。","Kare wa hashiru wa oroka, hayaku aruku koto sura dekinai.","He can't even walk fast, let alone run.","JLPT N1"
"Noun はおろか～まで (~wa oroka ~made)","Even; not to mention; let alone","Noun1 + はおろか + Noun2 + まで","彼は英語はおろか、日本語までペラペラなんです。","Kare wa eigo wa oroka, nihongo made perapera nan desu.","He is not just fluent in English, but even in Japanese.","JLPT N1"
"Noun はおろか～も (Noun wa oroka ～ mo)","'Not only...but also', 'not to mention', 'to say nothing of'","Noun + はおろか + Noun + も","絵を描くことはおろか、字さえ書けない。","E wo kaku koto wa oroka, ji sae kakenai.","He can't even write, let alone draw.","JLPT N1"
"Noun はさておき (~ wa sateoki)","Means 'putting aside', 'aside from', 'notwithstanding'.","Noun + はさておき","試験の結果はさておき、この学期はとても学ぶことが多かった。","Shiken no kekka wa sateoki, kono gakki wa totemo manabu koto ga ookatta.","Aside from the exam results, I learned a lot this semester.","JLPT N1"
"Noun + はどうであれ (~ wa dou de are)","This phrase means 'regardless of' or 'no matter how…'. It is used to express the idea that 'whatever the state or condition of the noun, we should not care'.","Noun + はどうであれ","天候はどうであれ、試合は行われます。","Tenkou wa dou de are, shiai wa okonawaremasu.","No matter what the weather is, the match will be held.","JLPT N1"
"Noun まみれ (~mamire)","Used to express a state in which something is entirely covered, smeared, or filled with something else.","Noun + まみれ","彼は泥まみれになって帰ってきた。","Kare wa doro mamire ni natte kaette kita.","He returned home covered in mud.","JLPT N1"
"Noun もさることながら Noun も (A mo saru koto nagara B mo)","Meaning 'not only... but also'. Expresses that both Nouns are true or notable, but the second is particularly emphasized.","Noun1 + もさることながら + Noun2 + も","彼の歌唱力もさることながら、ダンスも素晴らしい。","Kare no kashou-ryoku mo saru koto nagara, dansu mo subarashii.","Not only his singing ability but also his dancing is wonderful.","JLPT N1"
"Noun も兼ねて (~mo kane te)","Used to express 'as well as', 'also', 'at the same time'.","Noun + も兼ねて","散歩も兼ねて、公園に行きました。","Sanpo mo kanete, kouen ni ikimashita.","I went to the park, also for a walk.","JLPT N1"
"Noun も相まって (~mo aimatte)","Used to express that combined with something else, it caused a certain outcome","Noun + も相まって","気候も相まって、この地域は農業に適しています。","Kikou mo aimatte, kono chiiki wa nougyou ni tekishiteimasu.","Combined with the climate, this area is suitable for agriculture.","JLPT N1"
"Noun を おいて他に Verb ない (〜wo oite hoka ni〜nai)","This grammar point means 'apart from ~ there's nothing else', implying the Noun is the best or most suitable choice.","Noun + をおいて他に + Verb negative form","この仕事を彼に任せる人をおいて他にいない。","Kono shigoto wo kare ni makaseru hito wo oite hoka ni inai.","Apart from him, there's no one else to entrust this job to.","JLPT N1"
"Noun をもって (~wo motte)","Used to indicate means, methods, or time; 'with', 'by means of', 'at'.","Noun + をもって","彼は誠実さをもって人々に信頼されています。","Kare wa seijitsusa wo motte hitobito ni shinrai sarete imasu.","He is trusted by people with his honesty.","JLPT N1"
"Noun をものともせずに (Noun wo mono tomo sezu ni)","Expresses the idea that 'despite something, action was carried out', simply translating to 'without being phased by something'.","Noun + をものともせずに","彼女は怖さをものともせずに、暗闇の中へ進んで行った。","Kanojo wa kowasa wo mono tomo sezu ni, kurayami no naka e susunde itta.","Despite her fear, she went ahead into the darkness.","JLPT N1"
"Noun をよそに (~wo yoso ni)","Despite; Notwithstanding; Regardless of","Noun + をよそに","経済危機をよそに、彼は高級な車を買った。","Keizai kiki wo yoso ni, kare wa koukyuu na kuruma wo katta.","Despite the economic crisis, he bought a luxury car.","JLPT N1"
